source,medium,campaign,content,audience,title_zh,title_en,landing_page,utm_url
"linkedin","organic","configurator_configurator_29","procurement","採購團隊","NVIDIA H200 GPU 伺服器配置器","NVIDIA H200 GPU Server Configurator","https://eudaemonia.tech/configurator/29/","https://eudaemonia.tech/configurator/29/?utm_source=linkedin&utm_medium=organic&utm_campaign=configurator_configurator_29&utm_content=procurement"
"email","outreach","configurator_configurator_29","rfq_followup","詢價追蹤","NVIDIA H200 GPU 伺服器配置器","NVIDIA H200 GPU Server Configurator","https://eudaemonia.tech/configurator/29/","https://eudaemonia.tech/configurator/29/?utm_source=email&utm_medium=outreach&utm_campaign=configurator_configurator_29&utm_content=rfq_followup"
"linkedin","organic","configurator_nvidia_h200_server","technical","技術團隊","NVIDIA H200 GPU 伺服器配置器","NVIDIA H200 GPU Server Configurator","https://eudaemonia.tech/solutions/nvidia-h200-server/","https://eudaemonia.tech/solutions/nvidia-h200-server/?utm_source=linkedin&utm_medium=organic&utm_campaign=configurator_nvidia_h200_server&utm_content=technical"
"linkedin","organic","configurator_nvidia_h200_server","procurement","採購團隊","NVIDIA H200 GPU 伺服器配置器","NVIDIA H200 GPU Server Configurator","https://eudaemonia.tech/solutions/nvidia-h200-server/","https://eudaemonia.tech/solutions/nvidia-h200-server/?utm_source=linkedin&utm_medium=organic&utm_campaign=configurator_nvidia_h200_server&utm_content=procurement"
"email","outreach","configurator_nvidia_h200_server","rfq_followup","詢價追蹤","NVIDIA H200 GPU 伺服器配置器","NVIDIA H200 GPU Server Configurator","https://eudaemonia.tech/solutions/nvidia-h200-server/","https://eudaemonia.tech/solutions/nvidia-h200-server/?utm_source=email&utm_medium=outreach&utm_campaign=configurator_nvidia_h200_server&utm_content=rfq_followup"
"linkedin","organic","configurator_rtx_pro_6000_workstation","technical","技術團隊","RTX PRO 6000 AI 工作站配置器","RTX PRO 6000 AI Workstation Configurator","https://eudaemonia.tech/solutions/rtx-pro-6000-workstation/","https://eudaemonia.tech/solutions/rtx-pro-6000-workstation/?utm_source=linkedin&utm_medium=organic&utm_campaign=configurator_rtx_pro_6000_workstation&utm_content=technical"
"linkedin","organic","configurator_rtx_pro_6000_workstation","procurement","採購團隊","RTX PRO 6000 AI 工作站配置器","RTX PRO 6000 AI Workstation Configurator","https://eudaemonia.tech/solutions/rtx-pro-6000-workstation/","https://eudaemonia.tech/solutions/rtx-pro-6000-workstation/?utm_source=linkedin&utm_medium=organic&utm_campaign=configurator_rtx_pro_6000_workstation&utm_content=procurement"
"email","outreach","configurator_rtx_pro_6000_workstation","rfq_followup","詢價追蹤","RTX PRO 6000 AI 工作站配置器","RTX PRO 6000 AI Workstation Configurator","https://eudaemonia.tech/solutions/rtx-pro-6000-workstation/","https://eudaemonia.tech/solutions/rtx-pro-6000-workstation/?utm_source=email&utm_medium=outreach&utm_campaign=configurator_rtx_pro_6000_workstation&utm_content=rfq_followup"
"linkedin","organic","configurator_ai_workstation_taiwan","technical","技術團隊","台灣 AI 工作站配置器","AI Workstation Taiwan Configurator","https://eudaemonia.tech/solutions/ai-workstation-taiwan/","https://eudaemonia.tech/solutions/ai-workstation-taiwan/?utm_source=linkedin&utm_medium=organic&utm_campaign=configurator_ai_workstation_taiwan&utm_content=technical"
"linkedin","organic","configurator_ai_workstation_taiwan","procurement","採購團隊","台灣 AI 工作站配置器","AI Workstation Taiwan Configurator","https://eudaemonia.tech/solutions/ai-workstation-taiwan/","https://eudaemonia.tech/solutions/ai-workstation-taiwan/?utm_source=linkedin&utm_medium=organic&utm_campaign=configurator_ai_workstation_taiwan&utm_content=procurement"
"email","outreach","configurator_ai_workstation_taiwan","rfq_followup","詢價追蹤","台灣 AI 工作站配置器","AI Workstation Taiwan Configurator","https://eudaemonia.tech/solutions/ai-workstation-taiwan/","https://eudaemonia.tech/solutions/ai-workstation-taiwan/?utm_source=email&utm_medium=outreach&utm_campaign=configurator_ai_workstation_taiwan&utm_content=rfq_followup"
"linkedin","organic","configurator_liquid_cooled_gpu_server","technical","技術團隊","液冷 GPU 伺服器配置器","Liquid-Cooled GPU Server Configurator","https://eudaemonia.tech/solutions/liquid-cooled-gpu-server/","https://eudaemonia.tech/solutions/liquid-cooled-gpu-server/?utm_source=linkedin&utm_medium=organic&utm_campaign=configurator_liquid_cooled_gpu_server&utm_content=technical"
"linkedin","organic","configurator_liquid_cooled_gpu_server","procurement","採購團隊","液冷 GPU 伺服器配置器","Liquid-Cooled GPU Server Configurator","https://eudaemonia.tech/solutions/liquid-cooled-gpu-server/","https://eudaemonia.tech/solutions/liquid-cooled-gpu-server/?utm_source=linkedin&utm_medium=organic&utm_campaign=configurator_liquid_cooled_gpu_server&utm_content=procurement"
"email","outreach","configurator_liquid_cooled_gpu_server","rfq_followup","詢價追蹤","液冷 GPU 伺服器配置器","Liquid-Cooled GPU Server Configurator","https://eudaemonia.tech/solutions/liquid-cooled-gpu-server/","https://eudaemonia.tech/solutions/liquid-cooled-gpu-server/?utm_source=email&utm_medium=outreach&utm_campaign=configurator_liquid_cooled_gpu_server&utm_content=rfq_followup"
"linkedin","organic","configurator_gpu_server_quote","technical","技術團隊","GPU 伺服器報價配置器","GPU Server Quote Configurator","https://eudaemonia.tech/solutions/gpu-server-quote/","https://eudaemonia.tech/solutions/gpu-server-quote/?utm_source=linkedin&utm_medium=organic&utm_campaign=configurator_gpu_server_quote&utm_content=technical"
"linkedin","organic","configurator_gpu_server_quote","procurement","採購團隊","GPU 伺服器報價配置器","GPU Server Quote Configurator","https://eudaemonia.tech/solutions/gpu-server-quote/","https://eudaemonia.tech/solutions/gpu-server-quote/?utm_source=linkedin&utm_medium=organic&utm_campaign=configurator_gpu_server_quote&utm_content=procurement"
"email","outreach","configurator_gpu_server_quote","rfq_followup","詢價追蹤","GPU 伺服器報價配置器","GPU Server Quote Configurator","https://eudaemonia.tech/solutions/gpu-server-quote/","https://eudaemonia.tech/solutions/gpu-server-quote/?utm_source=email&utm_medium=outreach&utm_campaign=configurator_gpu_server_quote&utm_content=rfq_followup"
"linkedin","organic","configurator_h200_vs_rtx_pro_6000","technical","技術團隊","NVIDIA H200 與 RTX PRO 6000 GPU 伺服器比較","NVIDIA H200 vs RTX PRO 6000 GPU Server Comparison","https://eudaemonia.tech/solutions/h200-vs-rtx-pro-6000/","https://eudaemonia.tech/solutions/h200-vs-rtx-pro-6000/?utm_source=linkedin&utm_medium=organic&utm_campaign=configurator_h200_vs_rtx_pro_6000&utm_content=technical"
"linkedin","organic","configurator_h200_vs_rtx_pro_6000","procurement","採購團隊","NVIDIA H200 與 RTX PRO 6000 GPU 伺服器比較","NVIDIA H200 vs RTX PRO 6000 GPU Server Comparison","https://eudaemonia.tech/solutions/h200-vs-rtx-pro-6000/","https://eudaemonia.tech/solutions/h200-vs-rtx-pro-6000/?utm_source=linkedin&utm_medium=organic&utm_campaign=configurator_h200_vs_rtx_pro_6000&utm_content=procurement"
"email","outreach","configurator_h200_vs_rtx_pro_6000","rfq_followup","詢價追蹤","NVIDIA H200 與 RTX PRO 6000 GPU 伺服器比較","NVIDIA H200 vs RTX PRO 6000 GPU Server Comparison","https://eudaemonia.tech/solutions/h200-vs-rtx-pro-6000/","https://eudaemonia.tech/solutions/h200-vs-rtx-pro-6000/?utm_source=email&utm_medium=outreach&utm_campaign=configurator_h200_vs_rtx_pro_6000&utm_content=rfq_followup"
"linkedin","organic","configurator_gpu_server_rfq_checklist","technical","技術團隊","AI 採購 GPU 伺服器 RFQ 檢核表","GPU Server RFQ Checklist for AI Procurement","https://eudaemonia.tech/solutions/gpu-server-rfq-checklist/","https://eudaemonia.tech/solutions/gpu-server-rfq-checklist/?utm_source=linkedin&utm_medium=organic&utm_campaign=configurator_gpu_server_rfq_checklist&utm_content=technical"
"linkedin","organic","configurator_gpu_server_rfq_checklist","procurement","採購團隊","AI 採購 GPU 伺服器 RFQ 檢核表","GPU Server RFQ Checklist for AI Procurement","https://eudaemonia.tech/solutions/gpu-server-rfq-checklist/","https://eudaemonia.tech/solutions/gpu-server-rfq-checklist/?utm_source=linkedin&utm_medium=organic&utm_campaign=configurator_gpu_server_rfq_checklist&utm_content=procurement"
"email","outreach","configurator_gpu_server_rfq_checklist","rfq_followup","詢價追蹤","AI 採購 GPU 伺服器 RFQ 檢核表","GPU Server RFQ Checklist for AI Procurement","https://eudaemonia.tech/solutions/gpu-server-rfq-checklist/","https://eudaemonia.tech/solutions/gpu-server-rfq-checklist/?utm_source=email&utm_medium=outreach&utm_campaign=configurator_gpu_server_rfq_checklist&utm_content=rfq_followup"
"linkedin","organic","configurator_liquid_cooling_ai_server_procurement","technical","技術團隊","液冷 AI 伺服器採購指南","Liquid-Cooling AI Server Procurement Guide","https://eudaemonia.tech/solutions/liquid-cooling-ai-server-procurement/","https://eudaemonia.tech/solutions/liquid-cooling-ai-server-procurement/?utm_source=linkedin&utm_medium=organic&utm_campaign=configurator_liquid_cooling_ai_server_procurement&utm_content=technical"
"linkedin","organic","configurator_liquid_cooling_ai_server_procurement","procurement","採購團隊","液冷 AI 伺服器採購指南","Liquid-Cooling AI Server Procurement Guide","https://eudaemonia.tech/solutions/liquid-cooling-ai-server-procurement/","https://eudaemonia.tech/solutions/liquid-cooling-ai-server-procurement/?utm_source=linkedin&utm_medium=organic&utm_campaign=configurator_liquid_cooling_ai_server_procurement&utm_content=procurement"
"email","outreach","configurator_liquid_cooling_ai_server_procurement","rfq_followup","詢價追蹤","液冷 AI 伺服器採購指南","Liquid-Cooling AI Server Procurement Guide","https://eudaemonia.tech/solutions/liquid-cooling-ai-server-procurement/","https://eudaemonia.tech/solutions/liquid-cooling-ai-server-procurement/?utm_source=email&utm_medium=outreach&utm_campaign=configurator_liquid_cooling_ai_server_procurement&utm_content=rfq_followup"
"linkedin","organic","configurator_gpu_server_power_planning","technical","技術團隊","GPU 伺服器電力規劃配置器","GPU Server Power Planning Configurator","https://eudaemonia.tech/solutions/gpu-server-power-planning/","https://eudaemonia.tech/solutions/gpu-server-power-planning/?utm_source=linkedin&utm_medium=organic&utm_campaign=configurator_gpu_server_power_planning&utm_content=technical"
"linkedin","organic","configurator_gpu_server_power_planning","procurement","採購團隊","GPU 伺服器電力規劃配置器","GPU Server Power Planning Configurator","https://eudaemonia.tech/solutions/gpu-server-power-planning/","https://eudaemonia.tech/solutions/gpu-server-power-planning/?utm_source=linkedin&utm_medium=organic&utm_campaign=configurator_gpu_server_power_planning&utm_content=procurement"
"email","outreach","configurator_gpu_server_power_planning","rfq_followup","詢價追蹤","GPU 伺服器電力規劃配置器","GPU Server Power Planning Configurator","https://eudaemonia.tech/solutions/gpu-server-power-planning/","https://eudaemonia.tech/solutions/gpu-server-power-planning/?utm_source=email&utm_medium=outreach&utm_campaign=configurator_gpu_server_power_planning&utm_content=rfq_followup"
"linkedin","organic","configurator_rack_ai_server_deployment","technical","技術團隊","機架式 AI 伺服器部署配置器","Rack AI Server Deployment Configurator","https://eudaemonia.tech/solutions/rack-ai-server-deployment/","https://eudaemonia.tech/solutions/rack-ai-server-deployment/?utm_source=linkedin&utm_medium=organic&utm_campaign=configurator_rack_ai_server_deployment&utm_content=technical"
"linkedin","organic","configurator_rack_ai_server_deployment","procurement","採購團隊","機架式 AI 伺服器部署配置器","Rack AI Server Deployment Configurator","https://eudaemonia.tech/solutions/rack-ai-server-deployment/","https://eudaemonia.tech/solutions/rack-ai-server-deployment/?utm_source=linkedin&utm_medium=organic&utm_campaign=configurator_rack_ai_server_deployment&utm_content=procurement"
"email","outreach","configurator_rack_ai_server_deployment","rfq_followup","詢價追蹤","機架式 AI 伺服器部署配置器","Rack AI Server Deployment Configurator","https://eudaemonia.tech/solutions/rack-ai-server-deployment/","https://eudaemonia.tech/solutions/rack-ai-server-deployment/?utm_source=email&utm_medium=outreach&utm_campaign=configurator_rack_ai_server_deployment&utm_content=rfq_followup"
"linkedin","organic","configurator_taiwan_public_procurement_gpu_server","technical","技術團隊","台灣公部門 GPU 伺服器採購檢核表","Taiwan Public Procurement GPU Server Checklist","https://eudaemonia.tech/solutions/taiwan-public-procurement-gpu-server/","https://eudaemonia.tech/solutions/taiwan-public-procurement-gpu-server/?utm_source=linkedin&utm_medium=organic&utm_campaign=configurator_taiwan_public_procurement_gpu_server&utm_content=technical"
"linkedin","organic","configurator_taiwan_public_procurement_gpu_server","procurement","採購團隊","台灣公部門 GPU 伺服器採購檢核表","Taiwan Public Procurement GPU Server Checklist","https://eudaemonia.tech/solutions/taiwan-public-procurement-gpu-server/","https://eudaemonia.tech/solutions/taiwan-public-procurement-gpu-server/?utm_source=linkedin&utm_medium=organic&utm_campaign=configurator_taiwan_public_procurement_gpu_server&utm_content=procurement"
"email","outreach","configurator_taiwan_public_procurement_gpu_server","rfq_followup","詢價追蹤","台灣公部門 GPU 伺服器採購檢核表","Taiwan Public Procurement GPU Server Checklist","https://eudaemonia.tech/solutions/taiwan-public-procurement-gpu-server/","https://eudaemonia.tech/solutions/taiwan-public-procurement-gpu-server/?utm_source=email&utm_medium=outreach&utm_campaign=configurator_taiwan_public_procurement_gpu_server&utm_content=rfq_followup"
"linkedin","organic","configurator_supermicro_comino_gpu_server_comparison","technical","技術團隊","Supermicro 與 Comino GPU 伺服器配置比較","Supermicro and Comino GPU Server Configuration Comparison","https://eudaemonia.tech/solutions/supermicro-comino-gpu-server-comparison/","https://eudaemonia.tech/solutions/supermicro-comino-gpu-server-comparison/?utm_source=linkedin&utm_medium=organic&utm_campaign=configurator_supermicro_comino_gpu_server_comparison&utm_content=technical"
"linkedin","organic","configurator_supermicro_comino_gpu_server_comparison","procurement","採購團隊","Supermicro 與 Comino GPU 伺服器配置比較","Supermicro and Comino GPU Server Configuration Comparison","https://eudaemonia.tech/solutions/supermicro-comino-gpu-server-comparison/","https://eudaemonia.tech/solutions/supermicro-comino-gpu-server-comparison/?utm_source=linkedin&utm_medium=organic&utm_campaign=configurator_supermicro_comino_gpu_server_comparison&utm_content=procurement"
"email","outreach","configurator_supermicro_comino_gpu_server_comparison","rfq_followup","詢價追蹤","Supermicro 與 Comino GPU 伺服器配置比較","Supermicro and Comino GPU Server Configuration Comparison","https://eudaemonia.tech/solutions/supermicro-comino-gpu-server-comparison/","https://eudaemonia.tech/solutions/supermicro-comino-gpu-server-comparison/?utm_source=email&utm_medium=outreach&utm_campaign=configurator_supermicro_comino_gpu_server_comparison&utm_content=rfq_followup"
"linkedin","organic","configurator_ai_inference_server_taiwan","technical","技術團隊","台灣 AI 推論伺服器配置器","AI Inference Server Taiwan Configurator","https://eudaemonia.tech/solutions/ai-inference-server-taiwan/","https://eudaemonia.tech/solutions/ai-inference-server-taiwan/?utm_source=linkedin&utm_medium=organic&utm_campaign=configurator_ai_inference_server_taiwan&utm_content=technical"
"linkedin","organic","configurator_ai_inference_server_taiwan","procurement","採購團隊","台灣 AI 推論伺服器配置器","AI Inference Server Taiwan Configurator","https://eudaemonia.tech/solutions/ai-inference-server-taiwan/","https://eudaemonia.tech/solutions/ai-inference-server-taiwan/?utm_source=linkedin&utm_medium=organic&utm_campaign=configurator_ai_inference_server_taiwan&utm_content=procurement"
"email","outreach","configurator_ai_inference_server_taiwan","rfq_followup","詢價追蹤","台灣 AI 推論伺服器配置器","AI Inference Server Taiwan Configurator","https://eudaemonia.tech/solutions/ai-inference-server-taiwan/","https://eudaemonia.tech/solutions/ai-inference-server-taiwan/?utm_source=email&utm_medium=outreach&utm_campaign=configurator_ai_inference_server_taiwan&utm_content=rfq_followup"
